Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
5643,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Chembur  ,12th Std,3 or 4,2,Employed,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Remain the same
5644,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Chembur  ,12th Std,5 and more,1,Unemployed,Improved,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Decreased,Will increase,Remained the same,Will improve,Increased,Will decrease,Increased,
5645,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Chembur  ,12th Std,5 and more,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
5646,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,10th Std-Below 12th Std,3 or 4,1,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
5647,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,12th Std,3 or 4,3,Employed,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
5648,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,12th Std,3 or 4,3,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will improve,Remained the same,Remain the same,,
5649,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
5650,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,5th Std-Below 10th Std,5 and more,1,Unemployed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
5651,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,Graduate,3 or 4,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Decreased,Remain the same,Remained the same,Will improve,Increased,Will increase,Decreased,Remain the same
5652,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,Graduate,3 or 4,2,Employed,Improved,Remain the same,Increased,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
5653,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,Graduate,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Decreased,Remain the same,Remained the same,Remain the same,Increased,Remain the same,Decreased,
5654,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,Graduate,3 or 4,3,Unemployed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will decrease
5655,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,Graduate,5 and more,1,Unemployed,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Remain the same,Worsened,Will improve,Increased,Will increase,Remained the same,Will decrease
5656,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dhaisar ,Post Graduate,5 and more,2,Unemployed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
5657,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dharavi (SC) ,10th Std-Below 12th Std,5 and more,1,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
5658,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dharavi (SC) ,5th Std-Below 10th Std,5 and more,2,Employed,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5659,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dindoshi ,12th Std,3 or 4,1,Unemployed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will decrease,Decreased,
5660,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Dindoshi ,5th Std-Below 10th Std,3 or 4,1,Daily worker,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5661,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,10th Std-Below 12th Std,5 and more,1,Unemployed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5662,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,3 or 4,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5663,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,3 or 4,2,Employed,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5664,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,3 or 4,2,Employed,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
5665,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,3 or 4,2,Employed,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Decreased,Will increase,,Will increase
5666,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,3 or 4,2,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
5667,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,5 and more,2,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5668,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will decrease,Increased,Will increase,Improved,Will worsen,Increased,Will increase,Increased,Will increase
5669,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5670,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,Graduate,3 or 4,2,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5671,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,Graduate,3 or 4,3,Employed,Worsened,Will worsen,Decreased,Will decrease,Decreased,Will decrease,Decreased,Will decrease,Decreased,Will decrease,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5672,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar East ,Graduate,5 and more,1,Unemployed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
5673,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar West ,5th Std-Below 10th Std,5 and more,2,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
5674,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar West ,Graduate,1 to 2,1,Employed,Remained the same,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Remained the same,Remain the same,,
5675,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatkopar West ,Graduate,5 and more,2,Self Employed/ Business,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will increase,,Will increase
5676,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Goregaon ,10th Std-Below 12th Std,3 or 4,2,Employed,Improved,Will improve,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
5677,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Goregaon ,12th Std,3 or 4,1,Unemployed,Remained the same,Will worsen,Decreased,Will decrease,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will decrease,Decreased,
5678,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Goregaon ,12th Std,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Remain the same,Remained the same,
5679,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Goregaon ,12th Std,3 or 4,3,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
5680,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Goregaon ,Graduate,3 or 4,1,Self Employed/ Business,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Decreased,Will decrease,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5681,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Goregaon ,Graduate,5 and more,2,Unemployed,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Remain the same
5682,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Jogeswari East ,10th Std-Below 12th Std,3 or 4,2,Employed,Worsened,Remain the same,Increased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Decreased,Will decrease,,
5683,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Jogeswari East ,Graduate,3 or 4,2,Employed,Improved,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
5684,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Jogeswari East ,Graduate,5 and more,2,Employed,Improved,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
5685,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Kalina  ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Will decrease,Remained the same,Will increase,Decreased,Will decrease,Increased,Will increase,Worsened,Will worsen,Decreased,Will decrease,,
5686,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Kalina  ,5th Std-Below 10th Std,5 and more,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
5687,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Kalina  ,Post Graduate,5 and more,4,Employed,Improved,Will improve,Decreased,Will decrease,Decreased,Will increase,Decreased,Will decrease,Increased,Will increase,Improved,Will improve,Decreased,Will decrease,,
5688,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Kandivali East ,10th Std-Below 12th Std,5 and more,2,Self Employed/ Business,Remained the same,Remain the same,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
5689,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Kandivali East ,12th Std,5 and more,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
5690,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Kandivali East ,Post Graduate,3 or 4,1,Unemployed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
5691,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Kurla (SC) ,5th Std-Below 10th Std,5 and more,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
5692,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Magathane ,12th Std,5 and more,1,Unemployed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Remain the same,Remained the same,
5693,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Magathane ,5th Std-Below 10th Std,5 and more,3,Unemployed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Remained the same,Will increase,,Will decrease
5694,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Magathane ,Graduate,5 and more,2,Daily worker,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Will increase,Decreased,Will increase,Remained the same,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Remain the same
5695,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mahim ,10th Std-Below 12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same
5696,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mahim ,Illiterate,3 or 4,1,Employed,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,,Will increase
5697,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Malad West ,12th Std,1 to 2,1,Employed,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Remained the same,Remain the same
5698,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Malad West ,5th Std-Below 10th Std,3 or 4,2,Self Employed/ Business,Worsened,Remain the same,Decreased,Will decrease,Remained the same,Will decrease,Remained the same,Will decrease,Decreased,Will decrease,Worsened,Remain the same,Remained the same,Remain the same,,
5699,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Malad West ,Graduate,3 or 4,1,Daily worker,Remained the same,Will worsen,Decreased,Will decrease,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
5700,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Malad West ,Graduate,5 and more,1,Unemployed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
5701,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Malad West ,Graduate,5 and more,1,Unemployed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will decrease
5702,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,10th Std-Below 12th Std,5 and more,2,Unemployed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
5703,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,12th Std,3 or 4,1,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5704,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,12th Std,5 and more,2,Employed,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5705,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,12th Std,5 and more,2,Employed,Worsened,Will improve,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will increase
5706,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,12th Std,5 and more,4,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5707,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,5th Std-Below 10th Std,3 or 4,2,Daily worker,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Remained the same,Will increase,,Remain the same
5708,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,5th Std-Below 10th Std,5 and more,2,Employed,Remained the same,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5709,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,Graduate,3 or 4,2,Employed,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
5710,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,Graduate,3 or 4,3,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
5711,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mankhurd shivaji nagar ,Graduate,5 and more,2,Employed,Improved,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
5712,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,10th Std-Below 12th Std,3 or 4,2,Daily worker,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5713,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,5th Std-Below 10th Std,1 to 2,1,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Will decrease,Increased,Will increase,Improved,Will improve,Remained the same,Remain the same,,
5714,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5715,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,5th Std-Below 10th Std,3 or 4,2,Daily worker,Worsened,Will improve,Decreased,Will increase,Increased,Will decrease,Increased,Will decrease,Increased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will decrease
5716,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,Below 5th Std,5 and more,3,Employed,Improved,Will improve,Decreased,Will decrease,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Worsened,Will improve,Decreased,Will increase,,Will increase
5717,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,Graduate,1 to 2,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
5718,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,Graduate,3 or 4,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Increased,Will increase,Improved,Will improve,Increased,Will decrease,Decreased,
5719,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,Graduate,3 or 4,1,Unemployed,Improved,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Improved,Remain the same,Remained the same,Will decrease,,
5720,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,Graduate,3 or 4,2,Employed,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Improved,Will improve,Remained the same,Remain the same,,
5721,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mulund ,Graduate,5 and more,3,Unemployed,Worsened,Will worsen,Decreased,Will increase,Decreased,Will increase,Decreased,Will decrease,Remained the same,Will increase,Worsened,Will improve,Increased,Will decrease,Increased,
5722,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Mumbadevi ,Graduate,3 or 4,2,Unemployed,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5723,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Shivadi ,10th Std-Below 12th Std,5 and more,1,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5724,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Shivadi ,12th Std,5 and more,2,Self Employed/ Business,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5725,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Shivadi ,Graduate,3 or 4,3,Unemployed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Will worsen,Increased,Will increase,Increased,Will increase
5726,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Shivadi ,Graduate,5 and more,2,Unemployed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
5727,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Sion Koliwada ,12th Std,3 or 4,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5728,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Sion Koliwada ,12th Std,3 or 4,2,Employed,Improved,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
5729,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Vandre east ,12th Std,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
5730,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Vandre east ,Graduate,5 and more,1,Self Employed/ Business,Worsened,Will improve,Decreased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Decreased,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5731,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Vandre east ,Illiterate,1 to 2,1,Self Employed/ Business,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Remained the same,Remain the same,,
5732,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Vandre West ,Graduate,5 and more,1,Unemployed,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Remained the same,Remain the same,,
5733,41,Mar-18,Mumbai,22-29 year,Male,Rs. 1 to less than 3 lakh,Vandre West ,Graduate,5 and more,1,Unemployed,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,,
